         |    (    |    )    |    *    |    +    |    -    |    /    |    ;    |    =    |    A    |    B    |    C    |    D    |    E    |    F    |    G    |    H    |    I    |    J    |    K    |   L    |    M    |    N    |    S    |    a    |    b    |    c    |    d    |    e    |    f    |    g    |    h    |    i    |    j    |    k    |    {    |    }    |    #    |
   43    |         |         |         |         |         |         |         |         |    3    |    4    |    5    |    6    |         |         |         |   52    |         |         |         |        |         |         |         |    S10  |         |         |    S11  |    S12  |         |         |         |         |         |         |     S2  |         |         |
   44    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |    R10  |         |    R10  |    R10  |    R10  |         |         |         |         |         |         |    R10  |    R10  |    R10  |
   45    |    R27  |    R27  |    R27  |    R27  |    R27  |    R27  |    R27  |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |    R27  |    R27  |    R27  |    R27  |    R27  |    R27  |    R27  |         |         |    R27  |
   46    |         |         |         |         |         |         |         |         |    3    |    4    |    5    |    6    |         |         |         |   53    |         |         |         |        |         |         |         |    S10  |         |         |    S11  |    S12  |         |         |         |         |         |         |     S2  |         |         |
   47    |         |         |    S29  |         |         |    S30  |         |         |         |         |         |         |   31    |         |         |         |         |   54    |         |        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |
   48    |         |         |    S29  |         |         |    S30  |         |         |         |         |         |         |   31    |         |         |         |         |   55    |         |        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |
   49    |         |    R11  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |    R11  |
   50    |         |         |         |    S39  |    S40  |         |         |         |         |         |         |         |   41    |         |         |         |   56    |         |         |        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |
   51    |         |         |         |    S39  |    S40  |         |         |         |         |         |         |         |   41    |         |         |         |   57    |         |         |        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |
   52    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |     R9  |         |     R9  |     R9  |     R9  |         |         |         |         |         |         |     R9  |     R9  |     R9  |
   53    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |    S58  |         |         |         |         |         |         |         |         |         |         |         |
   54    |    R22  |    R22  |         |    R22  |    R22  |         |    R22  |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |    R22  |    R22  |    R22  |    R22  |    R22  |    R22  |    R22  |         |         |    R22  |
   55    |    R23  |    R23  |         |    R23  |    R23  |         |    R23  |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |    R23  |    R23  |    R23  |    R23  |    R23  |    R23  |    R23  |         |         |    R23  |
   56    |    R18  |    R18  |         |         |         |         |    R18  |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |    R18  |    R18  |    R18  |    R18  |    R18  |    R18  |    R18  |         |         |    R18  |
   57    |    R19  |    R19  |         |         |         |         |    R19  |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |    R19  |    R19  |    R19  |    R19  |    R19  |    R19  |    R19  |         |         |    R19  |
   58    |         |         |         |         |         |         |         |         |    3    |    4    |    5    |    6    |         |         |         |   59    |         |         |         |        |         |         |         |    S10  |         |         |    S11  |    S12  |         |         |         |         |         |         |     S2  |         |         |
   59    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |     R8  |         |     R8  |     R8  |     R8  |         |         |         |         |         |         |     R8  |     R8  |     R8  |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
